Interval,Lat_M,Lon_M
19,58.33392394,-2.11958726
19,58.33392394,-2.11958726
19,58.33392394,-2.11958726
19,58.33392394,-2.11958726
19,58.33392394,-2.11958726
19,58.33392394,-2.11958726
19,58.33392394,-2.11958726
19,58.33392394,-2.11958726
20,58.33356667,-2.08777665
20,58.33356667,-2.08777665
20,58.33356667,-2.08777665
20,58.33356667,-2.08777665
20,58.33356667,-2.08777665
20,58.33356667,-2.08777665
20,58.33356667,-2.08777665
20,58.33356667,-2.08777665
20,58.33356667,-2.08777665
20,58.33356667,-2.08777665
20,58.33356667,-2.08777665
21,58.3332165,-2.05593726
21,58.3332165,-2.05593726
21,58.3332165,-2.05593726
21,58.3332165,-2.05593726
21,58.3332165,-2.05593726
21,58.3332165,-2.05593726
21,58.3332165,-2.05593726
21,58.3332165,-2.05593726
21,58.3332165,-2.05593726
22,58.33340831,-2.02404718
22,58.33340831,-2.02404718
22,58.33340831,-2.02404718
22,58.33340831,-2.02404718
22,58.33340831,-2.02404718
22,58.33340831,-2.02404718
22,58.33340831,-2.02404718
22,58.33340831,-2.02404718
22,58.33340831,-2.02404718
23,58.33331899,-1.99237131
23,58.33331899,-1.99237131
23,58.33331899,-1.99237131
23,58.33331899,-1.99237131
23,58.33331899,-1.99237131
23,58.33331899,-1.99237131
23,58.33331899,-1.99237131
23,58.33331899,-1.99237131
23,58.33331899,-1.99237131
24,58.33298396,-1.96043811
24,58.33298396,-1.96043811
24,58.33298396,-1.96043811
24,58.33298396,-1.96043811
24,58.33298396,-1.96043811
24,58.33298396,-1.96043811
24,58.33298396,-1.96043811
24,58.33298396,-1.96043811
24,58.33298396,-1.96043811
24,58.33298396,-1.96043811
25,58.33276667,-1.9286675
25,58.33276667,-1.9286675
25,58.33276667,-1.9286675
25,58.33276667,-1.9286675
25,58.33276667,-1.9286675
25,58.33276667,-1.9286675
25,58.33276667,-1.9286675
25,58.33276667,-1.9286675
25,58.33276667,-1.9286675
26,58.33267,-1.89692653
26,58.33267,-1.89692653
26,58.33267,-1.89692653
26,58.33267,-1.89692653
26,58.33267,-1.89692653
26,58.33267,-1.89692653
26,58.33267,-1.89692653
26,58.33267,-1.89692653
26,58.33267,-1.89692653
26,58.33267,-1.89692653
27,58.33275598,-1.86512699
27,58.33275598,-1.86512699
27,58.33275598,-1.86512699
27,58.33275598,-1.86512699
27,58.33275598,-1.86512699
27,58.33275598,-1.86512699
27,58.33275598,-1.86512699
27,58.33275598,-1.86512699
27,58.33275598,-1.86512699
27,58.33275598,-1.86512699
28,58.33281667,-1.83318898
28,58.33281667,-1.83318898
28,58.33281667,-1.83318898
28,58.33281667,-1.83318898
28,58.33281667,-1.83318898
28,58.33281667,-1.83318898
28,58.33281667,-1.83318898
28,58.33281667,-1.83318898
28,58.33281667,-1.83318898
28,58.33281667,-1.83318898
29,58.33326033,-1.80150097
29,58.33326033,-1.80150097
29,58.33326033,-1.80150097
29,58.33326033,-1.80150097
29,58.33326033,-1.80150097
29,58.33326033,-1.80150097
29,58.33326033,-1.80150097
29,58.33326033,-1.80150097
29,58.33326033,-1.80150097
29,58.33326033,-1.80150097
30,58.33354624,-1.76967947
30,58.33354624,-1.76967947
30,58.33354624,-1.76967947
30,58.33354624,-1.76967947
30,58.33354624,-1.76967947
30,58.33354624,-1.76967947
30,58.33354624,-1.76967947
30,58.33354624,-1.76967947
30,58.33354624,-1.76967947
30,58.33354624,-1.76967947
30,58.33354624,-1.76967947
30,58.33354624,-1.76967947
31,58.33374993,-1.73800064
31,58.33374993,-1.73800064
31,58.33374993,-1.73800064
31,58.33374993,-1.73800064
31,58.33374993,-1.73800064
31,58.33374993,-1.73800064
31,58.33374993,-1.73800064
31,58.33374993,-1.73800064
31,58.33374993,-1.73800064
31,58.33374993,-1.73800064
32,58.33387833,-1.7061239
32,58.33387833,-1.7061239
32,58.33387833,-1.7061239
32,58.33387833,-1.7061239
32,58.33387833,-1.7061239
32,58.33387833,-1.7061239
32,58.33387833,-1.7061239
32,58.33387833,-1.7061239
32,58.33387833,-1.7061239
32,58.33387833,-1.7061239
32,58.33387833,-1.7061239
33,58.33375965,-1.67429244
33,58.33375965,-1.67429244
33,58.33375965,-1.67429244
33,58.33375965,-1.67429244
33,58.33375965,-1.67429244
33,58.33375965,-1.67429244
33,58.33375965,-1.67429244
33,58.33375965,-1.67429244
33,58.33375965,-1.67429244
33,58.33375965,-1.67429244
33,58.33375965,-1.67429244
33,58.33375965,-1.67429244
34,58.33421271,-1.64264288
34,58.33421271,-1.64264288
34,58.33421271,-1.64264288
34,58.33421271,-1.64264288
34,58.33421271,-1.64264288
34,58.33421271,-1.64264288
34,58.33421271,-1.64264288
34,58.33421271,-1.64264288
34,58.33421271,-1.64264288
34,58.33421271,-1.64264288
34,58.33421271,-1.64264288
34,58.33421271,-1.64264288
35,58.33471929,-1.61086682
35,58.33471929,-1.61086682
35,58.33471929,-1.61086682
35,58.33471929,-1.61086682
35,58.33471929,-1.61086682
35,58.33471929,-1.61086682
35,58.33471929,-1.61086682
35,58.33471929,-1.61086682
35,58.33471929,-1.61086682
35,58.33471929,-1.61086682
35,58.33471929,-1.61086682
35,58.33471929,-1.61086682
35,58.33471929,-1.61086682
36,58.33492546,-1.57905912
36,58.33492546,-1.57905912
36,58.33492546,-1.57905912
36,58.33492546,-1.57905912
36,58.33492546,-1.57905912
36,58.33492546,-1.57905912
36,58.33492546,-1.57905912
36,58.33492546,-1.57905912
36,58.33492546,-1.57905912
36,58.33492546,-1.57905912
36,58.33492546,-1.57905912
36,58.33492546,-1.57905912
36,58.33492546,-1.57905912
37,58.3350153,-1.54725251
37,58.3350153,-1.54725251
37,58.3350153,-1.54725251
37,58.3350153,-1.54725251
37,58.3350153,-1.54725251
37,58.3350153,-1.54725251
37,58.3350153,-1.54725251
37,58.3350153,-1.54725251
37,58.3350153,-1.54725251
37,58.3350153,-1.54725251
37,58.3350153,-1.54725251
38,58.33533576,-1.51546
38,58.33533576,-1.51546
38,58.33533576,-1.51546
38,58.33533576,-1.51546
38,58.33533576,-1.51546
38,58.33533576,-1.51546
38,58.33533576,-1.51546
38,58.33533576,-1.51546
38,58.33533576,-1.51546
38,58.33533576,-1.51546
39,58.3347664,-1.48385162
39,58.3347664,-1.48385162
39,58.3347664,-1.48385162
39,58.3347664,-1.48385162
39,58.3347664,-1.48385162
39,58.3347664,-1.48385162
39,58.3347664,-1.48385162
39,58.3347664,-1.48385162
39,58.3347664,-1.48385162
39,58.3347664,-1.48385162
40,58.33334235,-1.4518502
40,58.33334235,-1.4518502
40,58.33334235,-1.4518502
40,58.33334235,-1.4518502
40,58.33334235,-1.4518502
40,58.33334235,-1.4518502
40,58.33334235,-1.4518502
40,58.33334235,-1.4518502
40,58.33334235,-1.4518502
41,58.33216667,-1.42028077
41,58.33216667,-1.42028077
41,58.33216667,-1.42028077
41,58.33216667,-1.42028077
41,58.33216667,-1.42028077
41,58.33216667,-1.42028077
41,58.33216667,-1.42028077
41,58.33216667,-1.42028077
41,58.33216667,-1.42028077
42,58.33068412,-1.38857927
42,58.33068412,-1.38857927
42,58.33068412,-1.38857927
42,58.33068412,-1.38857927
42,58.33068412,-1.38857927
42,58.33068412,-1.38857927
42,58.33068412,-1.38857927
42,58.33068412,-1.38857927
42,58.33068412,-1.38857927
42,58.33068412,-1.38857927
42,58.33068412,-1.38857927
42,58.33068412,-1.38857927
43,58.32932167,-1.35693352
43,58.32932167,-1.35693352
43,58.32932167,-1.35693352
43,58.32932167,-1.35693352
43,58.32932167,-1.35693352
43,58.32932167,-1.35693352
43,58.32932167,-1.35693352
43,58.32932167,-1.35693352
43,58.32932167,-1.35693352
43,58.32932167,-1.35693352
43,58.32932167,-1.35693352
43,58.32932167,-1.35693352
44,58.32822905,-1.32513905
44,58.32822905,-1.32513905
44,58.32822905,-1.32513905
44,58.32822905,-1.32513905
44,58.32822905,-1.32513905
44,58.32822905,-1.32513905
44,58.32822905,-1.32513905
44,58.32822905,-1.32513905
44,58.32822905,-1.32513905
44,58.32822905,-1.32513905
45,58.32746263,-1.29337102
45,58.32746263,-1.29337102
45,58.32746263,-1.29337102
45,58.32746263,-1.29337102
45,58.32746263,-1.29337102
45,58.32746263,-1.29337102
45,58.32746263,-1.29337102
45,58.32746263,-1.29337102
45,58.32746263,-1.29337102
45,58.32746263,-1.29337102
45,58.32746263,-1.29337102
45,58.32746263,-1.29337102
46,58.32657365,-1.26167163
46,58.32657365,-1.26167163
46,58.32657365,-1.26167163
46,58.32657365,-1.26167163
46,58.32657365,-1.26167163
46,58.32657365,-1.26167163
46,58.32657365,-1.26167163
46,58.32657365,-1.26167163
46,58.32657365,-1.26167163
46,58.32657365,-1.26167163
46,58.32657365,-1.26167163
46,58.32657365,-1.26167163
47,58.32632693,-1.22981028
47,58.32632693,-1.22981028
47,58.32632693,-1.22981028
47,58.32632693,-1.22981028
47,58.32632693,-1.22981028
47,58.32632693,-1.22981028
